,default,student,balance,income
0,No,No,729.5264952,44361.62507
1,No,Yes,817.1804066000001,12106.1347
2,No,No,1073.549164,31767.13895
3,No,No,529.2506047,35704.49394
4,No,No,785.6558828999999,38463.49588
5,No,Yes,919.5885304999999,7491.558572
6,No,No,825.5133304999999,24905.226580000002
7,No,Yes,808.6675042999999,17600.45134
8,No,No,1161.057854,37468.52929
9,No,No,0.0,29275.268289999996
10,No,Yes,0.0,21871.07309
11,No,Yes,1220.583753,13268.56222
12,No,No,237.045114,28251.69534
13,No,No,606.7423432999999,44994.55585
14,No,No,1112.968401,23810.17405
15,No,No,286.2325601,45042.41304
16,No,No,0.0,50265.31235
17,No,Yes,527.5401841,17636.53962
18,No,No,485.9368642,61566.106120000004
19,No,No,1095.072735,26464.631390000002
20,No,No,228.95254959999997,50500.1822
21,No,No,954.2617928,32457.50908
22,No,No,1055.956605,51317.88308
23,No,No,641.9843887999999,30466.103260000004
24,No,No,773.2117245000001,34353.31431
25,No,No,855.0085224999999,25211.332159999998
26,No,No,642.9997384999999,41473.5118
27,No,No,1454.863272,32189.09495
28,No,No,615.7042766,39376.39462
29,No,Yes,1119.5693529999999,16556.070209999998
30,No,No,494.8162288,54384.78284
31,No,Yes,448.8806563,15799.47041
32,No,Yes,584.9048947000001,22429.93505
33,No,No,913.5871726,46907.2254
34,No,Yes,1423.938917,22634.48809
35,No,Yes,1499.724657,13190.65272
36,No,No,692.0341671,47806.611769999996
37,No,No,351.4534715,35087.48865
38,No,No,742.6276207999999,37864.823939999995
39,No,No,653.1184001,39489.5947
40,No,No,872.1386795,41787.56727
41,No,No,837.2626227999999,51471.77209
42,No,No,1151.630566,42917.469560000005
43,No,Yes,220.55560840000004,16872.94756
44,No,Yes,1690.2344100000003,19052.57222
45,No,No,408.7729143,54206.939210000004
46,No,No,1238.610321,50066.68053
47,No,No,1228.30835,37408.50387
48,No,No,820.9192041,47746.542069999996
49,No,No,857.4851177999999,31688.34597
50,No,No,563.6181772000001,42641.25327
51,No,Yes,1282.972534,13120.63647
52,No,Yes,1505.782675,26557.14145
53,No,Yes,904.0402591,16882.30061
54,No,No,0.0,49956.58057
55,No,Yes,1294.497347,10464.32073
56,No,Yes,1275.550633,15887.468490000001
57,No,No,1536.594601,48766.90746
58,No,No,1332.522644,39143.13707
59,No,No,492.0797678,33379.0946
60,No,No,766.2343793,46478.29426
61,No,No,690.1272462000001,63432.98425
62,No,No,0.0,32481.54005
