Sample,Permutation,Spectral,shannon_entropy
2.728050524,1.989859563,1.96955574,0.998941915
2.8272056,2.052636305,2.819611813,0.998197009
2.73244466,2.160911036,2.933607817,0.993622084
2.677766435,1.860366248,2.477192628,0.999828472
2.84231141,1.978383195,2.765742872,0.984754104
2.471690006,1.926768729,3.447506227,0.999813957
2.786221985,1.962943833,2.178267938,0.999867819
2.461509916,2.028593304,2.883394959,0.979296113
2.698530325,2.078209303,2.842148961,0.999443453
2.840021358,1.962084202,2.810835826,0.998564826
2.861248902,2.156202425,2.361127979,0.999986539
2.864722672,2.020595148,3.726131237,0.999651184
2.794990516,1.92876698,3.242779167,0.99962011
2.782900274,1.952872347,2.346087323,0.988634651
2.848342684,1.990336637,2.438814747,0.998533295
2.747371889,1.966290705,2.308621431,0.999743748
2.718627525,2.04774951,2.465218345,0.999932633
2.778707241,2.186846188,3.106071293,0.990880474
2.793421784,1.888537716,2.660965901,0.996501319
2.681605161,2.022845366,3.043672793,0.935607333
2.626093311,1.944933115,2.988825832,0.999864106
2.610525278,1.89343736,2.326679295,0.999941407
2.590114066,1.906824843,3.050329807,0.999712709
2.883229988,2.045761072,2.837248672,0.999995341
2.352992399,2.01544022,2.747271005,0.9981984
2.750290595,1.882631785,2.237612694,0.977045215
2.876133219,2.090379207,2.233411502,0.999016668
2.802550788,2.07399332,3.272456948,0.999645929
2.738321123,2.052984351,2.308356686,0.999535491
2.618812469,1.976222826,2.769716045,0.998188247
2.782729144,2.042514522,2.568007917,0.999967444
2.833930548,1.924980979,2.222396125,0.999597338
2.612241811,1.884390441,2.598727449,0.998089605
2.662907785,2.000530767,2.596223078,0.987527227
2.879924511,1.939376458,2.137552064,0.999583755
2.70671315,1.977734369,3.478938239,0.999812202
2.468565517,1.912605181,3.453656388,0.999150149
2.839452763,1.919216758,2.511669645,0.993077792
2.804978124,1.869034494,3.323475729,0.995964439
2.329352073,2.069223849,3.116763576,0.866334567
2.764429466,2.041361865,2.797889652,0.995691473
2.830929735,2.022954623,3.010866021,0.999990901
2.757964215,1.868597098,2.55792503,0.999256875
2.826578526,2.00841117,3.030367224,0.996170124
2.738783671,1.942563197,2.589321638,0.999955051
2.751935651,1.813700616,2.426055004,0.999287414
2.756100849,1.930050572,2.572788803,0.991331992
2.715453403,1.970586098,2.964476719,0.999999072
2.862516676,2.000232011,3.238463268,0.998744451
2.847364049,1.974805344,2.510204694,0.999972868
2.686576019,2.006033507,2.577310896,0.999831261
2.705964485,1.92897574,2.347512858,0.997242148
2.788725958,1.904596928,2.610359161,0.999722898
2.769151003,1.934458977,2.38471943,0.999999779
2.819193501,2.01178133,2.320842315,0.999476323
2.857527627,2.00908184,2.835829898,0.999972431
2.29549859,1.944263082,2.784121527,0.99380278
2.738746199,1.982319281,2.812268676,0.998262721
2.857388751,2.080462117,3.303101983,0.999300096
2.820765428,1.844201071,2.530999566,0.996955259
2.798853272,2.130208155,2.357207925,0.999997078
2.817311849,2.016458122,2.463551806,0.998819493
2.455725989,1.952521405,2.764341442,0.98659485
2.588650375,1.852643693,3.01609418,0.980110158
2.758113711,1.96992848,2.487788264,0.995084818
2.56845816,2.066112067,2.826601228,0.999572999
2.828005965,2.068020365,2.780180637,0.999826541
2.824545336,1.945050334,2.329187252,0.992709584
2.792097919,2.037815464,2.816337827,0.99899039
2.822561509,2.036926229,2.331756442,0.999770165
2.831633037,1.981561735,2.847226436,0.993987479
2.703074207,1.827260553,3.096044195,0.952435248
2.71719801,1.815908073,2.202214595,0.999783624
2.821661944,1.895012743,3.401724763,0.999987951
2.850716903,2.006575629,2.43425712,0.999639936
2.800123997,1.948026771,2.723180078,0.999937242
2.817143025,2.007387435,1.865316071,0.999966117
2.776589414,2.108721689,3.193999994,0.999995801
2.789231353,2.154157595,2.975255839,0.99999794
2.76045683,2.130478713,2.51722361,0.999626314
2.768250189,2.072982199,2.677921114,0.999988942
2.40944716,2.039408434,2.755194,0.998867488
2.752008901,1.990544176,2.638512813,0.999025334
2.736491908,1.942257604,2.57376348,0.99923678
2.756712273,2.005792501,3.323678208,0.999681578
2.8741894,1.95219174,2.916221722,0.99973371
2.688721551,1.961951102,2.379935922,0.977381646
2.726236195,1.990040958,2.590773219,0.999577897
